NL,OCL,Tag,,,
" sls is the Set of class SalesLineItem, including  which currentSale is linked to
  sub is the Set of Real, including the Subamount of each object in the set sls","   sls:Set(SalesLineItem) = currentSale.ContainedSalesLine,
   sub:Set(Real) = sls->collect(s:SalesLineItem | s.Subamount)
","Definition
","Generate OCL : sls is the Set of class SalesLineItem, including  which currentSale is linked to
  sub is the Set of Real, including the Subamount of each object in the set sls","Concode OCL : sls is the Set of class SalesLineItem, including  which currentSale is linked to
  sub is the Set of Real, including the Subamount of each object in the set sls","Concode OCL : sls is the Set of class SalesLineItem, including  which currentSale is linked to
  sub is the Set of Real, including the Subamount of each object in the set sls"
" currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to false","   currentSale.oclIsUndefined() = false and
   currentSale.IsComplete = false and
   currentSale.IsReadytoPay = false
","Precondition
","Generate OCL : currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to false","Concode OCL : currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to false","Concode OCL : currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to false"
" The attribute Amount of the object currentSale became the sum of sub
  The attribute IsReadytoPay of the object currentSale became true
  The return value was the attribute Amount of the object currentSale","   currentSale.Amount = sub.sum() and
   currentSale.IsReadytoPay = true and
   result = currentSale.Amount
","Postcondition
","Generate OCL : The attribute Amount of the object currentSale became the sum of sub
  The attribute IsReadytoPay of the object currentSale became true
  The return value was the attribute Amount of the object currentSale","Concode OCL : The attribute Amount of the object currentSale became the sum of sub
  The attribute IsReadytoPay of the object currentSale became true
  The return value was the attribute Amount of the object currentSale","Concode OCL : The attribute Amount of the object currentSale became the sum of sub
  The attribute IsReadytoPay of the object currentSale became true
  The return value was the attribute Amount of the object currentSale"
" currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to true
  The amount is greater than or equal to the attribute Amount of the object currentSale","   currentSale.oclIsUndefined() = false and
   currentSale.IsComplete = false and
   currentSale.IsReadytoPay = true and
   amount >= currentSale.Amount
","Precondition
","Generate OCL : currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to true
  The amount is greater than or equal to the attribute Amount of the object currentSale","Concode OCL : currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to true
  The amount is greater than or equal to the attribute Amount of the object currentSale","Concode OCL : currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to true
  The amount is greater than or equal to the attribute Amount of the object currentSale"
" cp represented the object of class CashPayment
  The object cp was created
  The attribute AmountTendered of the object cp became amount
  The object cp was linked to the object currentSale by BelongedSale
  The object currentSale was linked to the object cp by AssoicatedPayment
  The object currentSale was linked to the object currentStore by Belongedstore
  The object currentStore was linked to the object currentSale by Sales
  The attribute IsComplete of the object currentSale became true
  The attribute Time of the object currentSale was equal to Now
  The attribute Balance of the object cp became amount minus the attribute Amount of the object currentSale
  The object cp was put into the instance set of class CashPayment
  The return value was true","   let cp:CashPayment in
   cp.oclIsNew() and
   cp.AmountTendered = amount and
   cp.BelongedSale = currentSale and
   currentSale.AssoicatedPayment = cp and
   currentSale.Belongedstore = currentStore and
   currentStore.Sales->includes(currentSale) and
   currentSale.IsComplete = true and
   currentSale.Time.isEqual(Now) and
   cp.Balance = amount - currentSale.Amount and
   CashPayment.allInstance()->includes(cp) and
   result = true
","Postcondition
","Generate OCL : cp represented the object of class CashPayment
  The object cp was created
  The attribute AmountTendered of the object cp became amount
  The object cp was linked to the object currentSale by BelongedSale
  The object currentSale was linked to the object cp by AssoicatedPayment
  The object currentSale was linked to the object currentStore by Belongedstore
  The object currentStore was linked to the object currentSale by Sales
  The attribute IsComplete of the object currentSale became true
  The attribute Time of the object currentSale was equal to Now
  The attribute Balance of the object cp became amount minus the attribute Amount of the object currentSale
  The object cp was put into the instance set of class CashPayment
  The return value was true","Concode OCL : cp represented the object of class CashPayment
  The object cp was created
  The attribute AmountTendered of the object cp became amount
  The object cp was linked to the object currentSale by BelongedSale
  The object currentSale was linked to the object cp by AssoicatedPayment
  The object currentSale was linked to the object currentStore by Belongedstore
  The object currentStore was linked to the object currentSale by Sales
  The attribute IsComplete of the object currentSale became true
  The attribute Time of the object currentSale was equal to Now
  The attribute Balance of the object cp became amount minus the attribute Amount of the object currentSale
  The object cp was put into the instance set of class CashPayment
  The return value was true","Concode OCL : cp represented the object of class CashPayment
  The object cp was created
  The attribute AmountTendered of the object cp became amount
  The object cp was linked to the object currentSale by BelongedSale
  The object currentSale was linked to the object cp by AssoicatedPayment
  The object currentSale was linked to the object currentStore by Belongedstore
  The object currentStore was linked to the object currentSale by Sales
  The attribute IsComplete of the object currentSale became true
  The attribute Time of the object currentSale was equal to Now
  The attribute Balance of the object cp became amount minus the attribute Amount of the object currentSale
  The object cp was put into the instance set of class CashPayment
  The return value was true"
" currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to true
  The system operation thirdPartyCardPaymentService is executed","   currentSale.oclIsUndefined() = false and
   currentSale.IsComplete = false and
   currentSale.IsReadytoPay = true and
   thirdPartyCardPaymentService(cardAccountNumber, expiryDate, fee)
","Precondition
","Generate OCL : currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to true
  The system operation thirdPartyCardPaymentService is executed","Concode OCL : currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to true
  The system operation thirdPartyCardPaymentService is executed","Concode OCL : currentSale exists
  The attribute IsComplete of the object currentSale is equal to false
  The attribute IsReadytoPay of the object currentSale is equal to true
  The system operation thirdPartyCardPaymentService is executed"
" cdp represented the object of class CardPayment
  The object cdp was created
  The attribute AmountTendered of the object cdp became fee
  The object cdp was linked to the object currentSale by BelongedSale
  The object currentSale was linked to the object cdp by AssoicatedPayment
  The attribute CardAccountNumber of the object cdp became cardAccountNumber
  The attribute ExpiryDate of the object cdp became expiryDate
  The object cdp was put into the instance set of class CardPayment
  The object currentSale was linked to the object currentStore by Belongedstore
  The object currentStore was linked to the object currentSale by Sales
  The attribute IsComplete of the object currentSale became true
  The attribute Time of the object currentSale was equal to Now
  The return value was true","   let cdp:CardPayment in
   cdp.oclIsNew() and
   cdp.AmountTendered = fee and
   cdp.BelongedSale = currentSale and
   currentSale.AssoicatedPayment = cdp and
   cdp.CardAccountNumber = cardAccountNumber and
   cdp.ExpiryDate = expiryDate and
   CardPayment.allInstance()->includes(cdp) and
   currentSale.Belongedstore = currentStore and
   currentStore.Sales->includes(currentSale) and
   currentSale.IsComplete = true and
   currentSale.Time.isEqual(Now) and
   result = true
","Postcondition
","Generate OCL : cdp represented the object of class CardPayment
  The object cdp was created
  The attribute AmountTendered of the object cdp became fee
  The object cdp was linked to the object currentSale by BelongedSale
  The object currentSale was linked to the object cdp by AssoicatedPayment
  The attribute CardAccountNumber of the object cdp became cardAccountNumber
  The attribute ExpiryDate of the object cdp became expiryDate
  The object cdp was put into the instance set of class CardPayment
  The object currentSale was linked to the object currentStore by Belongedstore
  The object currentStore was linked to the object currentSale by Sales
  The attribute IsComplete of the object currentSale became true
  The attribute Time of the object currentSale was equal to Now
  The return value was true","Concode OCL : cdp represented the object of class CardPayment
  The object cdp was created
  The attribute AmountTendered of the object cdp became fee
  The object cdp was linked to the object currentSale by BelongedSale
  The object currentSale was linked to the object cdp by AssoicatedPayment
  The attribute CardAccountNumber of the object cdp became cardAccountNumber
  The attribute ExpiryDate of the object cdp became expiryDate
  The object cdp was put into the instance set of class CardPayment
  The object currentSale was linked to the object currentStore by Belongedstore
  The object currentStore was linked to the object currentSale by Sales
  The attribute IsComplete of the object currentSale became true
  The attribute Time of the object currentSale was equal to Now
  The return value was true","Concode OCL : cdp represented the object of class CardPayment
  The object cdp was created
  The attribute AmountTendered of the object cdp became fee
  The object cdp was linked to the object currentSale by BelongedSale
  The object currentSale was linked to the object cdp by AssoicatedPayment
  The attribute CardAccountNumber of the object cdp became cardAccountNumber
  The attribute ExpiryDate of the object cdp became expiryDate
  The object cdp was put into the instance set of class CardPayment
  The object currentSale was linked to the object currentStore by Belongedstore
  The object currentStore was linked to the object currentSale by Sales
  The attribute IsComplete of the object currentSale became true
  The attribute Time of the object currentSale was equal to Now
  The return value was true"
 The return value was true,"   result = true
","Postcondition
",Generate OCL : The return value was true,Concode OCL : The return value was true,Concode OCL : The return value was true
" op represented the object of class OrderProduct
  The object op was created
  The attribute OrderStatus of the object op became NEW
  The attribute Id of the object op became orderid
  The attribute Time of the object op was equal to Now
  The object op was put into the instance set of class OrderProduct
  The object currentOrderProduct became op
  The return value was true","   let op:OrderProduct in
   op.oclIsNew() and
   op.OrderStatus = OrderStatus::NEW and
   op.Id = orderid and
   op.Time.isEqual(Now) and
   OrderProduct.allInstance()->includes(op) and
   self.currentOrderProduct = op and
   result = true
","Postcondition
","Generate OCL : op represented the object of class OrderProduct
  The object op was created
  The attribute OrderStatus of the object op became NEW
  The attribute Id of the object op became orderid
  The attribute Time of the object op was equal to Now
  The object op was put into the instance set of class OrderProduct
  The object currentOrderProduct became op
  The return value was true","Concode OCL : op represented the object of class OrderProduct
  The object op was created
  The attribute OrderStatus of the object op became NEW
  The attribute Id of the object op became orderid
  The attribute Time of the object op was equal to Now
  The object op was put into the instance set of class OrderProduct
  The object currentOrderProduct became op
  The return value was true","Concode OCL : op represented the object of class OrderProduct
  The object op was created
  The attribute OrderStatus of the object op became NEW
  The attribute Id of the object op became orderid
  The attribute Time of the object op was equal to Now
  The object op was put into the instance set of class OrderProduct
  The object currentOrderProduct became op
  The return value was true"
" The return value was the set of class Item, including all item in the instance set of class Item. item represented an object of class Item, and item meet:
      The attribute StockNumber of the object item was equal to 0","   result = Item.allInstance()->select(item:Item | item.StockNumber = 0)
","Postcondition
","Generate OCL : The return value was the set of class Item, including all item in the instance set of class Item. item represented an object of class Item, and item meet:
      The attribute StockNumber of the object item was equal to 0","Concode OCL : The return value was the set of class Item, including all item in the instance set of class Item. item represented an object of class Item, and item meet:
      The attribute StockNumber of the object item was equal to 0","Concode OCL : The return value was the set of class Item, including all item in the instance set of class Item. item represented an object of class Item, and item meet:
      The attribute StockNumber of the object item was equal to 0"
" item is the object i in the instance set of class Item. i represents an object of class Item, and i meets:
      The attribute Barcode of the object i is equal to barcode","   item:Item = Item.allInstance()->any(i:Item | i.Barcode = barcode)
","Definition
","Generate OCL : item is the object i in the instance set of class Item. i represents an object of class Item, and i meets:
      The attribute Barcode of the object i is equal to barcode","Concode OCL : item is the object i in the instance set of class Item. i represents an object of class Item, and i meets:
      The attribute Barcode of the object i is equal to barcode","Concode OCL : item is the object i in the instance set of class Item. i represents an object of class Item, and i meets:
      The attribute Barcode of the object i is equal to barcode"
 item exists,"   item.oclIsUndefined() = false
","Precondition
",Generate OCL : item exists,Concode OCL : item exists,Concode OCL : item exists
" order represented the object of class OrderEntry
  The object order was created
  The attribute Quantity of the object order became quantity
  The attribute subAmount of the object order became the attribute OrderPrice of the object item times quantity
  The object order was linked to the object item by Item
  The object order was put into the instance set of class OrderEntry
  The object currentOrderProduct was linked to the object order by ContainedEntries
  The return value was true","   let order:OrderEntry in
   order.oclIsNew() and
   order.Quantity = quantity and
   order.subAmount = item.OrderPrice * quantity and
   order.Item = item and
   OrderEntry.allInstance()->includes(order) and
   currentOrderProduct.ContainedEntries->includes(order) and
   result = true
","Postcondition
","Generate OCL : order represented the object of class OrderEntry
  The object order was created
  The attribute Quantity of the object order became quantity
  The attribute subAmount of the object order became the attribute OrderPrice of the object item times quantity
  The object order was linked to the object item by Item
  The object order was put into the instance set of class OrderEntry
  The object currentOrderProduct was linked to the object order by ContainedEntries
  The return value was true","Concode OCL : order represented the object of class OrderEntry
  The object order was created
  The attribute Quantity of the object order became quantity
  The attribute subAmount of the object order became the attribute OrderPrice of the object item times quantity
  The object order was linked to the object item by Item
  The object order was put into the instance set of class OrderEntry
  The object currentOrderProduct was linked to the object order by ContainedEntries
  The return value was true","Concode OCL : order represented the object of class OrderEntry
  The object order was created
  The attribute Quantity of the object order became quantity
  The attribute subAmount of the object order became the attribute OrderPrice of the object item times quantity
  The object order was linked to the object item by Item
  The object order was put into the instance set of class OrderEntry
  The object currentOrderProduct was linked to the object order by ContainedEntries
  The return value was true"
" sup is the object s in the instance set of class Supplier. s represents an object of class Supplier, and s meets:
      The attribute Id of the object s is equal to supplierID","   sup:Supplier = Supplier.allInstance()->any(s:Supplier | s.Id = supplierID)
","Definition
","Generate OCL : sup is the object s in the instance set of class Supplier. s represents an object of class Supplier, and s meets:
      The attribute Id of the object s is equal to supplierID","Concode OCL : sup is the object s in the instance set of class Supplier. s represents an object of class Supplier, and s meets:
      The attribute Id of the object s is equal to supplierID","Concode OCL : sup is the object s in the instance set of class Supplier. s represents an object of class Supplier, and s meets:
      The attribute Id of the object s is equal to supplierID"
" sup exists
  currentOrderProduct exists","   sup.oclIsUndefined() = false and
   currentOrderProduct.oclIsUndefined() = false
","Precondition
","Generate OCL : sup exists
  currentOrderProduct exists","Concode OCL : sup exists
  currentOrderProduct exists","Concode OCL : sup exists
  currentOrderProduct exists"
" The object currentOrderProduct was linked to the object sup by Supplier
  The return value was true","   currentOrderProduct.Supplier = sup and
   result = true
","Postcondition
","Generate OCL : The object currentOrderProduct was linked to the object sup by Supplier
  The return value was true","Concode OCL : The object currentOrderProduct was linked to the object sup by Supplier
  The return value was true","Concode OCL : The object currentOrderProduct was linked to the object sup by Supplier
  The return value was true"
 currentOrderProduct exists,"   currentOrderProduct.oclIsUndefined() = false
","Precondition
",Generate OCL : currentOrderProduct exists,Concode OCL : currentOrderProduct exists,Concode OCL : currentOrderProduct exists
" The attribute OrderStatus of the object currentOrderProduct became REQUESTED
  For each object of class OrderEntry in all objects which currentOrderProduct was linked to by ContainedEntries, o represented it(the object) and the following operations were performed:
      The attribute Amount of the object currentOrderProduct was equal to the previous value of the attribute Amount of the object currentOrderProduct plus the attribute SubAmount of the object o
  The return value was true","   currentOrderProduct.OrderStatus = OrderStatus::REQUESTED and
   currentOrderProduct.ContainedEntries->forAll(o:OrderEntry |
    currentOrderProduct.Amount = currentOrderProduct.Amount@pre + o.SubAmount)
   and
   result = true
","Postcondition
","Generate OCL : The attribute OrderStatus of the object currentOrderProduct became REQUESTED
  For each object of class OrderEntry in all objects which currentOrderProduct was linked to by ContainedEntries, o represented it(the object) and the following operations were performed:
      The attribute Amount of the object currentOrderProduct was equal to the previous value of the attribute Amount of the object currentOrderProduct plus the attribute SubAmount of the object o
  The return value was true","Concode OCL : The attribute OrderStatus of the object currentOrderProduct became REQUESTED
  For each object of class OrderEntry in all objects which currentOrderProduct was linked to by ContainedEntries, o represented it(the object) and the following operations were performed:
      The attribute Amount of the object currentOrderProduct was equal to the previous value of the attribute Amount of the object currentOrderProduct plus the attribute SubAmount of the object o
  The return value was true","Concode OCL : The attribute OrderStatus of the object currentOrderProduct became REQUESTED
  For each object of class OrderEntry in all objects which currentOrderProduct was linked to by ContainedEntries, o represented it(the object) and the following operations were performed:
      The attribute Amount of the object currentOrderProduct was equal to the previous value of the attribute Amount of the object currentOrderProduct plus the attribute SubAmount of the object o
  The return value was true"
" item is the object i in the instance set of class Item. i represents an object of class Item, and i meets:
      The attribute Barcode of the object i is equal to barcode","   item:Item = Item.allInstance()->any(i:Item | i.Barcode = barcode)
","Definition
","Generate OCL : item is the object i in the instance set of class Item. i represents an object of class Item, and i meets:
      The attribute Barcode of the object i is equal to barcode","Concode OCL : item is the object i in the instance set of class Item. i represents an object of class Item, and i meets:
      The attribute Barcode of the object i is equal to barcode","Concode OCL : item is the object i in the instance set of class Item. i represents an object of class Item, and i meets:
      The attribute Barcode of the object i is equal to barcode"
 item exists,"   item.oclIsUndefined() = false
","Precondition
",Generate OCL : item exists,Concode OCL : item exists,Concode OCL : item exists
" The attribute Price of the object item became newPrice
  The return value was true","   item.Price = newPrice and
   result = true
","Postcondition
","Generate OCL : The attribute Price of the object item became newPrice
  The return value was true","Concode OCL : The attribute Price of the object item became newPrice
  The return value was true","Concode OCL : The attribute Price of the object item became newPrice
  The return value was true"
" op is the object i in the instance set of class OrderProduct. i represents an object of class OrderProduct, and i meets:
      The attribute Id of the object i is equal to orderID","   op:OrderProduct = OrderProduct.allInstance()->any(i:OrderProduct | i.Id = orderID)
","Definition
","Generate OCL : op is the object i in the instance set of class OrderProduct. i represents an object of class OrderProduct, and i meets:
      The attribute Id of the object i is equal to orderID","Concode OCL : op is the object i in the instance set of class OrderProduct. i represents an object of class OrderProduct, and i meets:
      The attribute Id of the object i is equal to orderID","Concode OCL : op is the object i in the instance set of class OrderProduct. i represents an object of class OrderProduct, and i meets:
      The attribute Id of the object i is equal to orderID"
 op exists,"   op.oclIsUndefined() = false
","Precondition
",Generate OCL : op exists,Concode OCL : op exists,Concode OCL : op exists
" The attribute OrderStatus of the object op became RECEIVED
  For each object of class OrderEntry in all objects which op was linked to by ContainedEntries, oe represented it(the object) and the following operations were performed:
      The attribute StockNumber of the object oe was equal to the previous value of the attribute StockNumber of the object oe plus the attribute Quantity of the object oe
  The return value was true","   op.OrderStatus = OrderStatus::RECEIVED and
   op.ContainedEntries->forAll(oe:OrderEntry |
    oe.Item.StockNumber = oe.Item.StockNumber@pre + oe.Quantity)
   and
   result = true
","Postcondition
","Generate OCL : The attribute OrderStatus of the object op became RECEIVED
  For each object of class OrderEntry in all objects which op was linked to by ContainedEntries, oe represented it(the object) and the following operations were performed:
      The attribute StockNumber of the object oe was equal to the previous value of the attribute StockNumber of the object oe plus the attribute Quantity of the object oe
  The return value was true","Concode OCL : The attribute OrderStatus of the object op became RECEIVED
  For each object of class OrderEntry in all objects which op was linked to by ContainedEntries, oe represented it(the object) and the following operations were performed:
      The attribute StockNumber of the object oe was equal to the previous value of the attribute StockNumber of the object oe plus the attribute Quantity of the object oe
  The return value was true","Concode OCL : The attribute OrderStatus of the object op became RECEIVED
  For each object of class OrderEntry in all objects which op was linked to by ContainedEntries, oe represented it(the object) and the following operations were performed:
      The attribute StockNumber of the object oe was equal to the previous value of the attribute StockNumber of the object oe plus the attribute Quantity of the object oe
  The return value was true"
 The return value was the instance set of class Supplier,"   result = Supplier.allInstance()
","Postcondition
",Generate OCL : The return value was the instance set of class Supplier,Concode OCL : The return value was the instance set of class Supplier,Concode OCL : The return value was the instance set of class Supplier
 The return value was the instance set of class Item,"   result = Item.allInstance()
","Postcondition
",Generate OCL : The return value was the instance set of class Item,Concode OCL : The return value was the instance set of class Item,Concode OCL : The return value was the instance set of class Item
" store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","   store:Store = Store.allInstance()->any(sto:Store | sto.Id = id)
","Definition
","Generate OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","Concode OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","Concode OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id"
 store doesn't exist,"   store.oclIsUndefined() = true
","Precondition
",Generate OCL : store doesn't exist,Concode OCL : store doesn't exist,Concode OCL : store doesn't exist
" sto represented the object of class Store
  The object sto was created
  The attribute Id of the object sto became id
  The attribute Name of the object sto became name
  The attribute Address of the object sto became address
  The attribute IsOpened of the object sto became isopened
  The object sto was put into the instance set of class Store
  The return value was true","   let sto:Store in
   sto.oclIsNew() and
   sto.Id = id and
   sto.Name = name and
   sto.Address = address and
   sto.IsOpened = isopened and
   Store.allInstance()->includes(sto) and
   result = true
","Postcondition
","Generate OCL : sto represented the object of class Store
  The object sto was created
  The attribute Id of the object sto became id
  The attribute Name of the object sto became name
  The attribute Address of the object sto became address
  The attribute IsOpened of the object sto became isopened
  The object sto was put into the instance set of class Store
  The return value was true","Concode OCL : sto represented the object of class Store
  The object sto was created
  The attribute Id of the object sto became id
  The attribute Name of the object sto became name
  The attribute Address of the object sto became address
  The attribute IsOpened of the object sto became isopened
  The object sto was put into the instance set of class Store
  The return value was true","Concode OCL : sto represented the object of class Store
  The object sto was created
  The attribute Id of the object sto became id
  The attribute Name of the object sto became name
  The attribute Address of the object sto became address
  The attribute IsOpened of the object sto became isopened
  The object sto was put into the instance set of class Store
  The return value was true"
" store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","   store:Store = Store.allInstance()->any(sto:Store | sto.Id = id)
","Definition
","Generate OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","Concode OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","Concode OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id"
 store exists,"   store.oclIsUndefined() = false
","Precondition
",Generate OCL : store exists,Concode OCL : store exists,Concode OCL : store exists
 The return value was store,"   result = store
","Postcondition
",Generate OCL : The return value was store,Concode OCL : The return value was store,Concode OCL : The return value was store
" store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","   store:Store = Store.allInstance()->any(sto:Store | sto.Id = id)
","Definition
","Generate OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","Concode OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","Concode OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id"
 store exists,"   store.oclIsUndefined() = false
","Precondition
",Generate OCL : store exists,Concode OCL : store exists,Concode OCL : store exists
" The attribute Id of the object store became id
  The attribute Name of the object store became name
  The attribute Address of the object store became address
  The attribute IsOpened of the object store became isopened
  The return value was true","   store.Id = id and
   store.Name = name and
   store.Address = address and
   store.IsOpened = isopened and
   result = true
","Postcondition
","Generate OCL : The attribute Id of the object store became id
  The attribute Name of the object store became name
  The attribute Address of the object store became address
  The attribute IsOpened of the object store became isopened
  The return value was true","Concode OCL : The attribute Id of the object store became id
  The attribute Name of the object store became name
  The attribute Address of the object store became address
  The attribute IsOpened of the object store became isopened
  The return value was true","Concode OCL : The attribute Id of the object store became id
  The attribute Name of the object store became name
  The attribute Address of the object store became address
  The attribute IsOpened of the object store became isopened
  The return value was true"
" store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","   store:Store = Store.allInstance()->any(sto:Store | sto.Id = id)
","Definition
","Generate OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","Concode OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id","Concode OCL : store is the object sto in the instance set of class Store. sto represents an object of class Store, and sto meets:
      The attribute Id of the object sto is equal to id"
" store exists
  The object store is in the instance set of class Store","   store.oclIsUndefined() = false and
   Store.allInstance()->includes(store)
","Precondition
","Generate OCL : store exists
  The object store is in the instance set of class Store","Concode OCL : store exists
  The object store is in the instance set of class Store","Concode OCL : store exists
  The object store is in the instance set of class Store"
" The object store was deleted from the instance set of class Store
  The return value was true","   Store.allInstance()->excludes(store) and
   result = true
","Postcondition
","Generate OCL : The object store was deleted from the instance set of class Store
  The return value was true","Concode OCL : The object store was deleted from the instance set of class Store
  The return value was true","Concode OCL : The object store was deleted from the instance set of class Store
  The return value was true"
" productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id","   productcatalog:ProductCatalog = ProductCatalog.allInstance()->any(pro:ProductCatalog | pro.Id = id)
","Definition
","Generate OCL : productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id","Concode OCL : productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id","Concode OCL : productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id"
 productcatalog doesn't exist,"   productcatalog.oclIsUndefined() = true
","Precondition
",Generate OCL : productcatalog doesn't exist,Concode OCL : productcatalog doesn't exist,Concode OCL : productcatalog doesn't exist
" pro represented the object of class ProductCatalog
  The object pro was created
  The attribute Id of the object pro became id
  The attribute Name of the object pro became name
  The object pro was put into the instance set of class ProductCatalog
  The return value was true","   let pro:ProductCatalog in
   pro.oclIsNew() and
   pro.Id = id and
   pro.Name = name and
   ProductCatalog.allInstance()->includes(pro) and
   result = true
","Postcondition
","Generate OCL : pro represented the object of class ProductCatalog
  The object pro was created
  The attribute Id of the object pro became id
  The attribute Name of the object pro became name
  The object pro was put into the instance set of class ProductCatalog
  The return value was true","Concode OCL : pro represented the object of class ProductCatalog
  The object pro was created
  The attribute Id of the object pro became id
  The attribute Name of the object pro became name
  The object pro was put into the instance set of class ProductCatalog
  The return value was true","Concode OCL : pro represented the object of class ProductCatalog
  The object pro was created
  The attribute Id of the object pro became id
  The attribute Name of the object pro became name
  The object pro was put into the instance set of class ProductCatalog
  The return value was true"
" productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id","   productcatalog:ProductCatalog = ProductCatalog.allInstance()->any(pro:ProductCatalog | pro.Id = id)
","Definition
","Generate OCL : productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id","Concode OCL : productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id","Concode OCL : productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id"
 productcatalog exists,"   productcatalog.oclIsUndefined() = false
","Precondition
",Generate OCL : productcatalog exists,Concode OCL : productcatalog exists,Concode OCL : productcatalog exists
 The return value was productcatalog,"   result = productcatalog
","Postcondition
",Generate OCL : The return value was productcatalog,Concode OCL : The return value was productcatalog,Concode OCL : The return value was productcatalog
" productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id","   productcatalog:ProductCatalog = ProductCatalog.allInstance()->any(pro:ProductCatalog | pro.Id = id)
","Definition
","Generate OCL : productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id","Concode OCL : productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id","Concode OCL : productcatalog is the object pro in the instance set of class ProductCatalog. pro represents an object of class ProductCatalog, and pro meets:
      The attribute Id of the object pro is equal to id"
 productcatalog exists,"   productcatalog.oclIsUndefined() = false
","Precondition
",Generate OCL : productcatalog exists,Concode OCL : productcatalog exists,Concode OCL : productcatalog exists
