NL,OCL,"2~458出自UML文档，459~473出自SysML文档,474~485出自pssm,486~509出自出自博士论文：Using patterns to develop consistent design constraints, Wahler, Michael S.，510~511出自pssm,512~552出自fuml,553~623出自网站https://wiki.xmldation.com/User_Guides/Studio/5%3A_OCL_Rules"
An initial Transition at the topmost level Region of a StateMachine that has no Trigger.,(source.oclIsKindOf(Pseudostate) and container.stateMachine->notEmpty()) implies trigger->isEmpty(),
A fork segment must not have Guards or Triggers.,"(source.oclIsKindOf(Pseudostate) and source.oclAsType(Pseudostate).kind =
PseudostateKind::fork) implies (guard = null and trigger->isEmpty())",
The source and target Vertices of a Transition must be contained in the same StateMachine as the Transition,"let stateMachine = self.containingStateMachine() in
source.containingStateMachine() = stateMachine and
target.containingStateMachine() = stateMachine",
A Parameter with direction other than inout must have exactly one ActivityParameterNode in an Activity.,"ownedParameter->forAll(p |
p.direction <> ParameterDirectionKind::inout implies node->select(
oclIsKindOf(ActivityParameterNode) and oclAsType(ActivityParameterNode).parameter =
p)->size()= 1)",
"A Parameter with direction inout must have exactly two ActivityParameterNodes in an Activity, at most one
with incoming ActivityEdges and at most one with outgoing ActivityEdges.","ownedParameter->forAll(p | p.direction = ParameterDirectionKind::inout implies
let associatedNodes : Set(ActivityNode) = node->select(
oclIsKindOf(ActivityParameterNode) and oclAsType(ActivityParameterNode).parameter =
p) in
associatedNodes->size()=2 and
associatedNodes->select(incoming->notEmpty())->size()<=1 and
associatedNodes->select(outgoing->notEmpty())->size()<=1
)",
"If an ActivityEdge is directly owned by an Activity, then its source and target must be directly or indirectly
contained in the same Activity.","activity<>null implies source.containingActivity() = activity and
target.containingActivity() = activity",
All containedNodes and containedEdges of an ActivityGroup must be in the same Activity as the group.,"containedNode->forAll(activity = self.containingActivity()) and
containedEdge->forAll(activity = self.containingActivity())",
"No containedNode or containedEdge of an ActivityGroup may be contained by its subgroups or its
superGroups, transitively.","subgroup->closure(subgroup).containedNode->excludesAll(containedNode) and
superGroup->closure(superGroup).containedNode->excludesAll(containedNode) and
subgroup->closure(subgroup).containedEdge->excludesAll(containedEdge) and
superGroup->closure(superGroup).containedEdge->excludesAll(containedEdge)",
"An ActivityParameterNode with no outgoing ActivityEdges and one or more incoming ActivityEdges must
have a parameter with direction out, inout, or return.","(incoming->notEmpty() and outgoing->isEmpty()) implies
(parameter.direction = ParameterDirectionKind::out or
parameter.direction = ParameterDirectionKind::inout or
parameter.direction = ParameterDirectionKind::return)",
The parameter of an ActivityParameterNode must be from the containing Activity.,activity.ownedParameter->includes(parameter),
The type of an ActivityParameterNode is the same as the type of its parameter.,type = parameter.type,
"An ActivityParameterNode with no incoming ActivityEdges and one or more outgoing ActivityEdges must
have a parameter with direction in or inout.","(outgoing->notEmpty() and incoming->isEmpty()) implies
(parameter.direction = ParameterDirectionKind::_'in' or
parameter.direction = ParameterDirectionKind::inout)",
"An ActivityParameterNode may have all incoming ActivityEdges or all outgoing ActivityEdges, but it must not
have both incoming and outgoing ActivityEdges",incoming->isEmpty() or outgoing->isEmpty(),
"If a non-external ActivityPartition represents a Classifier and has a superPartition, then the superPartition must
represent a Classifier, and the Classifier of the subpartition must be nested (nestedClassifier or
ownedBehavior) in the Classifier represented by the superPartition, or be at the contained end of a composition
Association with the Classifier represented by the superPartition.","(not isExternal and represents.oclIsKindOf(Classifier) and superPartition->notEmpty())
implies
(
let representedClassifier : Classifier = represents.oclAsType(Classifier) in superPartition.represents.oclIsKindOf(Classifier) and
let representedSuperClassifier : Classifier =
superPartition.represents.oclAsType(Classifier) in
(representedSuperClassifier.oclIsKindOf(BehavioredClassifier) and
representedClassifier.oclIsKindOf(Behavior) and
representedSuperClassifier.oclAsType(BehavioredClassifier).ownedBehavior-
>includes(representedClassifier.oclAsType(Behavior)))
or
(representedSuperClassifier.oclIsKindOf(Class) and
representedSuperClassifier.oclAsType(Class).nestedClassifier-
>includes(representedClassifier))
or
(Association.allInstances()->exists(a | a.memberEnd->exists(end1 | end1.isComposite
and end1.type = representedClassifier and
a.memberEnd-
>exists(end2 | end1<>end2 and end2.type = representedSuperClassifier))))
)",
"If an ActivityPartition represents a Property and has a superPartition, then the Property must be of a Classifier
represented by the superPartition, or of a Classifier that is the type of a Property represented by the
superPartition.","(represents.oclIsKindOf(Property) and superPartition->notEmpty()) implies
(
(superPartition.represents.oclIsKindOf(Classifier) and represents.owner =
superPartition.represents) or
(superPartition.represents.oclIsKindOf(Property) and represents.owner =
superPartition.represents.oclAsType(Property).type)
)",
"If an ActivityPartition represents a Property and has a superPartition representing a Classifier, then all the other
non-external subpartitions of the superPartition must represent Properties directly owned by the same
Classifier.","(represents.oclIsKindOf(Property) and superPartition->notEmpty() and
superPartition.represents.oclIsKindOf(Classifier)) implies
(
let representedClassifier : Classifier = superPartition.represents.oclAsType(Classifier)
in
superPartition.subpartition->reject(isExternal)->forAll(p |
p.represents.oclIsKindOf(Property) and p.owner=representedClassifier)
)",
An ActvivityPartition with isDimension = true may not be contained by another ActivityPartition.,isDimension implies superPartition->isEmpty(),
"ControlFlows may not have ObjectNodes at either end, except for ObjectNodes with control type.","(source.oclIsKindOf(ObjectNode) implies source.oclAsType(ObjectNode).isControlType) and
(target.oclIsKindOf(ObjectNode) implies target.oclAsType(ObjectNode).isControlType)",
"If the DecisionNode has no decisionInputFlow and an incoming ControlFlow, then any decisionInput Behavior
has no in parameters.","(decisionInput<>null and decisionInputFlow=null and incoming-
>exists(oclIsKindOf(ControlFlow))) implies
decisionInput.inputParameters()->isEmpty()",
"The ActivityEdges incoming to and outgoing from a DecisionNode, other than the decisionInputFlow (if any),
must be either all ObjectFlows or all ControlFlows.","let allEdges: Set(ActivityEdge) = incoming->union(outgoing) in
let allRelevantEdges: Set(ActivityEdge) = if decisionInputFlow->notEmpty() then allEdges-
>excluding(decisionInputFlow) else allEdges endif in
allRelevantEdges->forAll(oclIsKindOf(ControlFlow)) or allRelevantEdges-
>forAll(oclIsKindOf(ObjectFlow))",
The decisionInputFlow of a DecisionNode must be an incoming ActivityEdge of the DecisionNode.,incoming->includes(decisionInputFlow),
"If the DecisionNode has a decisionInputFlow and a second incoming ObjectFlow, then any decisionInput has
two in Parameters, the first of which has a type that is the same as or a supertype of the type of object tokens
offered on the non-decisionInputFlow and the second of which has a type that is the same as or a supertype of
the type of object tokens offered on the decisionInputFlow.","(decisionInput<>null and decisionInputFlow<>null and incoming-
>forAll(oclIsKindOf(ObjectFlow))) implies
decisionInput.inputParameters()->size()=2",
A DecisionNode has one or two incoming ActivityEdges and at least one outgoing ActivityEdge.,(incoming->size() = 1 or incoming->size() = 2) and outgoing->size() > 0,
"If the DecisionNode has a decisionInputFlow and an incoming ControlFlow, then any decisionInput Behavior
has one in Parameter whose type is the same as or a supertype of the type of object tokens offered on the
decisionInputFlow.","(decisionInput<>null and decisionInputFlow<>null and incoming-
>exists(oclIsKindOf(ControlFlow))) implies
decisionInput.inputParameters()->size()=1",
"A decisionInput Behavior has no out parameters, no inout parameters, and one return parameter.","decisionInput<>null implies
(decisionInput.ownedParameter->forAll(par |
par.direction <> ParameterDirectionKind::out and
par.direction <> ParameterDirectionKind::inout ) and
decisionInput.ownedParameter->one(par |
par.direction <> ParameterDirectionKind::return))",
"If the DecisionNode has no decisionInputFlow and an incoming ObjectFlow, then any decisionInput Behavior
has one in Parameter whose type is the same as or a supertype of the type of object tokens offered on the
incoming ObjectFlow.","(decisionInput<>null and decisionInputFlow=null and incoming-
>forAll(oclIsKindOf(ObjectFlow))) implies
decisionInput.inputParameters()->size()=1",
"The handlerBody has no incoming or outgoing ActivityEdges and the exceptionInput has no incoming
ActivityEdges.","handlerBody.incoming->isEmpty() and handlerBody.outgoing->isEmpty() and
exceptionInput.incoming->isEmpty()",
"If the protectedNode is an Action with OutputPins, then the handlerBody must also be an Action with the same
number of OutputPins, which are compatible in type, ordering, and multiplicity to those of the protectedNode.","(protectedNode.oclIsKindOf(Action) and protectedNode.oclAsType(Action).output-
>notEmpty()) implies
(
handlerBody.oclIsKindOf(Action) and
let protectedNodeOutput : OrderedSet(OutputPin) = protectedNode.oclAsType(Action).output,
handlerBodyOutput : OrderedSet(OutputPin) = handlerBody.oclAsType(Action).output in
protectedNodeOutput->size() = handlerBodyOutput->size() and
Sequence{1..protectedNodeOutput->size()}->forAll(i |
handlerBodyOutput->at(i).type.conformsTo(protectedNodeOutput->at(i).type) and
handlerBodyOutput->at(i).isOrdered=protectedNodeOutput->at(i).isOrdered and
handlerBodyOutput->at(i).compatibleWith(protectedNodeOutput->at(i)))
)",
"The handlerBody is an Action with one InputPin, and that InputPin is the same as the exceptionInput.","handlerBody.oclIsKindOf(Action) and
let inputs: OrderedSet(InputPin) = handlerBody.oclAsType(Action).input in
inputs->size()=1 and inputs->first()=exceptionInput",
"An ActivityEdge that has a source within the handlerBody of an ExceptionHandler must have its target in the
handlerBody also, and vice versa.","let nodes:Set(ActivityNode) = handlerBody.oclAsType(Action).allOwnedNodes() in
nodes.outgoing->forAll(nodes->includes(target)) and
nodes.incoming->forAll(nodes->includes(source))",
The handlerBody must have the same owner as the protectedNode.,handlerBody.owner=protectedNode.owner,
The exceptionInput must either have no type or every exceptionType must conform to the exceptionInput type.,"exceptionInput.type=null or
exceptionType->forAll(conformsTo(exceptionInput.type.oclAsType(Classifier)))",
A FinalNode has no outgoing ActivityEdges.,outgoing->isEmpty(),
"The ActivityEdges incoming to and outgoing from a ForkNode must be either all ObjectFlows or all
ControlFlows.","let allEdges : Set(ActivityEdge) = incoming->union(outgoing) in
allEdges->forAll(oclIsKindOf(ControlFlow)) or allEdges->forAll(oclIsKindOf(ObjectFlow))",
A ForkNode has one incoming ActivityEdge.,incoming->size()=1,
An InitialNode has no incoming ActivityEdges.,incoming->isEmpty(),
All the outgoing ActivityEdges from an InitialNode must be ControlFlows,outgoing->forAll(oclIsKindOf(ControlFlow)),
"The interruptingEdges of an InterruptibleActivityRegion must have their source in the region and their target
outside the region, but within the same Activity containing the region.","interruptingEdge->forAll(edge |
node->includes(edge.source) and node->excludes(edge.target) and
edge.target.containingActivity() = inActivity)",
A JoinNode has one outgoing ActivityEdge.,outgoing->size() = 1,
"If one of the incoming ActivityEdges of a JoinNode is an ObjectFlow, then its outgoing ActivityEdge must be
an ObjectFlow. Otherwise its outgoing ActivityEdge must be a ControlFlow.","if incoming->exists(oclIsKindOf(ObjectFlow)) then outgoing-
>forAll(oclIsKindOf(ObjectFlow))
else outgoing->forAll(oclIsKindOf(ControlFlow))
endif",
A MergeNode has one outgoing ActivityEdge.,outgoing->size()=1,
"The ActivityEdges incoming to and outgoing from a MergeNode must be either all ObjectFlows or all
ControlFlows.","let allEdges : Set(ActivityEdge) = incoming->union(outgoing) in
allEdges->forAll(oclIsKindOf(ControlFlow)) or allEdges->forAll(oclIsKindOf(ObjectFlow))",
"A selection Behavior has one input Parameter and one output Parameter. The input Parameter must have the
same as or a supertype of the type of the source ObjectNode, be non-unique and have multiplicity 0..*. The
output Parameter must be the same or a subtype of the type of source ObjectNode. The Behavior cannot have
side effects.","selection<>null implies
selection.inputParameters()->size()=1 and
selection.inputParameters()->forAll(not isUnique and is(0,*)) and
selection.outputParameters()->size()=1",
ObjectFlows may not have ExecutableNodes at either end.,not (source.oclIsKindOf(ExecutableNode) or target.oclIsKindOf(ExecutableNode)),
"A transformation Behavior has one input Parameter and one output Parameter. The input Parameter must be the
same as or a supertype of the type of object token coming from the source end. The output Parameter must be
the same or a subtype of the type of object token expected downstream. The Behavior cannot have side effects.","transformation<>null implies
transformation.inputParameters()->size()=1 and
transformation.outputParameters()->size()=1",
An ObjectFlow may have a selection Behavior only if it has an ObjectNode as its source.,selection<>null implies source.oclIsKindOf(ObjectNode),
isMulticast and isMultireceive cannot both be true.,not (isMulticast and isMultireceive),
"A selection Behavior has one input Parameter and one output Parameter. The input Parameter must have the
same type as or a supertype of the type of ObjectNode, be non-unique, and have multiplicity 0..*. The output
Parameter must be the same or a subtype of the type of ObjectNode. The Behavior cannot have side effects.","selection<>null implies
selection.inputParameters()->size()=1 and
selection.inputParameters()->forAll(p | not p.isUnique and p.is(0,*) and
self.type.conformsTo(p.type)) and
selection.outputParameters()->size()=1 and
selection.inputParameters()->forAll(p | self.type.conformsTo(p.type))",
"If an ObjectNode has a selection Behavior, then the ordering of the object node is ordered, and vice versa.",(selection<>null) = (ordering=ObjectNodeOrderingKind::ordered),
"If isControlType=false, the ActivityEdges incoming to or outgoing from an ObjectNode must all be
ObjectFlows.",(not isControlType) implies incoming->union(outgoing)->forAll(oclIsKindOf(ObjectFlow)),
"The number of result OutputPins must be the same as the number of input (in and inout) ownedParameters of
the Operation specified by the trigger Event. The type, ordering and multiplicity of each result OutputPin must
be consistent with the corresponding input Parameter.","let parameter: OrderedSet(Parameter) = trigger.event->asSequence()-
>first().oclAsType(CallEvent).operation.inputParameters() in
result->size() = parameter->size() and
Sequence{1..result->size()}->forAll(i |
parameter->at(i).type.conformsTo(result->at(i).type) and
parameter->at(i).isOrdered = result->at(i).isOrdered and
parameter->at(i).compatibleWith(result->at(i)))",
"The action must have exactly one trigger, which must be for a CallEvent.","trigger->size()=1 and
trigger->asSequence()->first().event.oclIsKindOf(CallEvent)",
isUnmarshall must be true for an AcceptCallAction.,isUnmarshall = true,
"If isUnmarshall=false and any of the triggers are for SignalEvents or TimeEvents, there must be exactly one
result OutputPin with multiplicity 1..1.","not isUnmarshall and trigger->exists(event.oclIsKindOf(SignalEvent) or
event.oclIsKindOf(TimeEvent)) implies
output->size() = 1 and output->first().is(1,1)",
AcceptEventActions may have no input pins.,input->size() = 0,
"There are no OutputPins if the trigger events are only ChangeEvents and/or CallEvents when this action is an
instance of AcceptEventAction and not an instance of a descendant of AcceptEventAction (such as
AcceptCallAction).","(self.oclIsTypeOf(AcceptEventAction) and
(trigger->forAll(event.oclIsKindOf(ChangeEvent) or event.oclIsKindOf(CallEvent))))
implies output->size() = 0",
"If isUnmarshall is true (and this is not an AcceptCallAction), there must be exactly one trigger, which is for a
SignalEvent. The number of result output pins must be the same as the number of attributes of the signal. The
type and ordering of each result output pin must be the same as the corresponding attribute of the signal. The
multiplicity of each result output pin must be compatible with the multiplicity of the corresponding attribute.","isUnmarshall and self.oclIsTypeOf(AcceptEventAction) implies
trigger->size()=1 and
trigger->asSequence()->first().event.oclIsKindOf(SignalEvent) and
let attribute: OrderedSet(Property) = trigger->asSequence()-
>first().event.oclAsType(SignalEvent).signal.allAttributes() in
attribute->size()>0 and result->size() = attribute->size() and
Sequence{1..result->size()}->forAll(i |
result->at(i).type = attribute->at(i).type and
result->at(i).isOrdered = attribute->at(i).isOrdered and
result->at(i).includesMultiplicity(attribute->at(i)))",
"If isUnmarshall=false and all the triggers are for SignalEvents, then the type of the single result OutputPin
must either be null or all the signals must conform to it.","not isUnmarshall implies
result->isEmpty() or
let type: Type = result->first().type in
type=null or
(trigger->forAll(event.oclIsKindOf(SignalEvent)) and
trigger.event.oclAsType(SignalEvent).signal->forAll(s | s.conformsTo(type)))",
The fromAction of an ActionInputPin must only have ActionInputPins as InputPins.,fromAction.input->forAll(oclIsKindOf(ActionInputPin)),
The fromAction of an ActionInputPin must have exactly one OutputPin.,fromAction.output->size() = 1,
The fromAction of an ActionInputPin cannot have ActivityEdges coming into or out of it or its Pins.,"fromAction.incoming->union(outgoing)->isEmpty() and
fromAction.input.incoming->isEmpty() and
fromAction.output.outgoing->isEmpty()",
A value InputPin is required.,value<>null,
"AddStructuralFeatureActions adding a value to ordered StructuralFeatures must have a single InputPin for the
insertion point with type UnlimitedNatural and multiplicity of 1..1 if isReplaceAll=false, and must have no
Input Pin for the insertion point when the StructuralFeature is unordered.","if not structuralFeature.isOrdered then insertAt = null
else
not isReplaceAll implies
insertAt<>null and
insertAt->forAll(type=UnlimitedNatural and is(1,1.oclAsType(UnlimitedNatural)))
endif",
"AddVariableValueActions for ordered Variables must have a single InputPin for the insertion point with type
UnlimtedNatural and multiplicity of 1..1 if isReplaceAll=false, otherwise the Action has no InputPin for the
insertion point.","if not variable.isOrdered then insertAt = null
else
not isReplaceAll implies
insertAt<>null and
insertAt->forAll(type=UnlimitedNatural and is(1,1.oclAsType(UnlimitedNatural)))
endif",
The number of argument InputPins must be the same as the number of attributes in the signal.,argument->size() = signal.allAttributes()->size(),
"The type, ordering, and multiplicity of an argument InputPin must be the same as the corresponding attribute
of the signal.","let attribute: OrderedSet(Property) = signal.allAttributes() in
Sequence{1..argument->size()}->forAll(i |
argument->at(i).type.conformsTo(attribute->at(i).type) and
argument->at(i).isOrdered = attribute->at(i).isOrdered and argument->at(i).compatibleWith(attribute->at(i)))",
A BroadcaseSignalAction may not specify onPort.,onPort=null,
"The number of argument InputPins must be the same as the number of input (in and inout) ownedParameters of
the called Behavior or Operation. The type, ordering and multiplicity of each argument InputPin must be
consistent with the corresponding input Parameter.","let parameter: OrderedSet(Parameter) = self.inputParameters() in argument->size() = parameter->size() and
Sequence{1..argument->size()}->forAll(i |
argument->at(i).type.conformsTo(parameter->at(i).type) and
argument->at(i).isOrdered = parameter->at(i).isOrdered and
argument->at(i).compatibleWith(parameter->at(i)))",
"The number of result OutputPins must be the same as the number of output (inout, out and return)
ownedParameters of the called Behavior or Operation. The type, ordering and multiplicity of each result
OutputPin must be consistent with the corresponding input Parameter.","let parameter: OrderedSet(Parameter) = self.outputParameters() in
result->size() = parameter->size() and
Sequence{1..result->size()}->forAll(i |
parameter->at(i).type.conformsTo(result->at(i).type) and
parameter->at(i).isOrdered = result->at(i).isOrdered and
parameter->at(i).compatibleWith(result->at(i)))",
Only synchronous CallActions can have result OutputPins.,result->notEmpty() implies isSynchronous,
A CallBehaviorAction may not specify onPort.,onPort=null,
"If onPort has no value, the operation must be an owned or inherited feature of the type of the target InputPin,
otherwise the Port given by onPort must be an owned or inherited feature of the type of the target InputPin, and
the Port must have a required or provided Interface with the operation as an owned or inherited feature.","if onPort=null then target.type.oclAsType(Classifier).allFeatures()-
>includes(operation) else target.type.oclAsType(Classifier).allFeatures()->includes(onPort) and onPort.provided-
>union(onPort.required).allFeatures()->includes(operation)
endif",
The bodyOutput Pins are OutputPins on Actions in the body of the Clause., _'body'.oclAsType(Action).allActions().output->includesAll(bodyOutput),
"The decider Pin must be on an Action in the test section of the Clause and must be of type Boolean with
multiplicity 1..1.","test.oclAsType(Action).allActions().output->includes(decider) and
decider.type = Boolean and
decider.is(1,1) ",
The test and body parts of a ConditionalNode must be disjoint with each other.,test->intersection(_'body')->isEmpty(),
The multiplicity of the object InputPin is 1..1.,"object.is(1,1)",
The type of the InputPin must conform to the type of at least one of the memberEnds of the association.,association.memberEnd->exists(self.object.type.conformsTo(type)),
The type of the result OutputPin is the same as the type of the inherited object InputPin.,result<>null implies result.type = object.type,
The multiplicity of the result OutputPin must be 1..1.,"result<>null implies result.is(1,1)",
The result OutputPins have no incoming edges.,result.incoming->isEmpty(),
A ConditionalNode has no InputPins.,input->isEmpty(),
"No ExecutableNode in the ConditionNode may appear in the test or body part of more than one clause of a
ConditionalNode.","node->select(oclIsKindOf(ExecutableNode)).oclAsType(ExecutableNode)->forAll(n |
self.clause->select(test->union(_'body')->includes(n))->size()=1)",
"Each clause of a ConditionalNode must have the same number of bodyOutput pins as the ConditionalNode has
result OutputPins, and each clause bodyOutput Pin must be compatible with the corresponding result
OutputPin (by positional order) in type, multiplicity, ordering, and uniqueness.","clause->forAll(
bodyOutput->size()=self.result->size() and
Sequence{1..self.result->size()}->forAll(i |
bodyOutput->at(i).type.conformsTo(result->at(i).type) and
bodyOutput->at(i).isOrdered = result->at(i).isOrdered and
bodyOutput->at(i).isUnique = result->at(i).isUnique and
bodyOutput->at(i).compatibleWith(result->at(i))))",
"The union of the ExecutableNodes in the test and body parts of all clauses must be the same as the subset of
nodes contained in the ConditionalNode (considered as a StructuredActivityNode) that are ExecutableNodes.","clause.test->union(clause._'body') = node-
>select(oclIsKindOf(ExecutableNode)).oclAsType(ExecutableNode)",
"No two clauses within a ConditionalNode may be predecessorClauses of each other, either directly or
indirectly.",clause->closure(predecessorClause)->intersection(clause)->isEmpty(),
The Association cannot be an abstract Classifier.,not self.association().isAbstract,
The multiplicity of the OutputPin is 1..1.,"result.is(1,1)",
The type of the result OutputPin must be the same as the Association of the CreateLinkObjectAction.,result.type = association(),
The Association must be an AssociationClass.,self.association().oclIsKindOf(AssociationClass),
The classifier cannot be abstract.,not classifier.isAbstract,
The multiplicity of the result OutputPin is 1..1.,"result.is(1,1)",
The classifier cannot be an AssociationClass.,not classifier.oclIsKindOf(AssociationClass),
The type of the result OutputPin must be the same as the classifier of the CreateObjectAction.,result.type = classifier,
The multiplicity of the target IinputPin is 1..1.,"target.is(1,1)",
The target InputPin has no type.,target.type= null,
"One of regionAsInput or regionAsOutput must be non-empty, but not both.",regionAsInput->notEmpty() xor regionAsOutput->notEmpty(),
"An InputPin may have outgoing ActivityEdges only when it is owned by a StructuredActivityNode, and these
edges must target a node contained (directly or indirectly) in the owning StructuredActivityNode.","outgoing->notEmpty() implies
action<>null and
action.oclIsKindOf(StructuredActivityNode) and
action.oclAsType(StructuredActivityNode).allOwnedNodes()->includesAll(outgoing.target)",
The inputValue InputPins is the same as the union of all the InputPins referenced by the endData.,inputValue->asBag()=endData.allPins(),
"The ends of the endData must all be from the same Association and include all and only the memberEnds of
that association.",endData.end = self.association().memberEnd->asBag(),
The ends of the endData must not be static.,endData->forAll(not end.isStatic),
"LinkEndCreationData for ordered Association ends must have a single insertAt InputPin for the insertion point
with type UnlimitedNatural and multiplicity of 1..1, if isReplaceAll=false, and must have no InputPin for the
insertion point when the association ends are unordered.","if not end.isOrdered
then insertAt = null
else
not isReplaceAll=false implies
insertAt <> null and insertAt->forAll(type=UnlimitedNatural and is(1,1))
endif",
The type of the value InputPin conforms to the type of the Association end.,value<>null implies value.type.conformsTo(end.type),
The multiplicity of the value InputPin must be 1..1.,"value<>null implies value.is(1,1)",
The value InputPin is not also the qualifier value InputPin.,value->excludesAll(qualifier.value),
The Property must be an Association memberEnd.,end.association <> null,
The qualifiers must be qualifiers of the Association end.,end.qualifier->includesAll(qualifier.qualifier),
"LinkEndDestructionData for ordered, nonunique Association ends must have a single destroyAt InputPin if
isDestroyDuplicates is false, which must be of type UnlimitedNatural and have a multiplicity of 1..1.
Otherwise, the action has no destroyAt input pin.","if not end.isOrdered or end.isUnique or isDestroyDuplicates
then destroyAt = null
else
destroyAt <> null and
destroyAt->forAll(type=UnlimitedNatural and is(1,1))
endif",
The result OutputPins have no incoming edges.,result.incoming->isEmpty(),
The loopVariableInputs must not have outgoing edges.,loopVariableInput.outgoing->isEmpty(),
"The union of the ExecutableNodes in the setupPart, test and bodyPart of a LoopNode must be the same as the
subset of nodes contained in the LoopNode (considered as a StructuredActivityNode) that are
ExecutableNodes.","setupPart->union(test)->union(bodyPart)=node-
>select(oclIsKindOf(ExecutableNode)).oclAsType(ExecutableNode)->asSet()",
The bodyOutput pins are OutputPins on Actions in the body of the LoopNode.,bodyPart.oclAsType(Action).allActions().output->includesAll(bodyOutput),
The test and body parts of a ConditionalNode must be disjoint with each other.,"setupPart->intersection(test)->isEmpty() and
setupPart->intersection(bodyPart)->isEmpty() and
test->intersection(bodyPart)->isEmpty()",
"A LoopNode must have the same number of bodyOutput Pins as loopVariables, and each bodyOutput Pin must
be compatible with the corresponding loopVariable (by positional order) in type, multiplicity, ordering and
uniqueness.","bodyOutput->size()=loopVariable->size() and
Sequence{1..loopVariable->size()}->forAll(i |
bodyOutput->at(i).type.conformsTo(loopVariable->at(i).type) and
bodyOutput->at(i).isOrdered = loopVariable->at(i).isOrdered and
bodyOutput->at(i).isUnique = loopVariable->at(i).isUnique and
loopVariable->at(i).includesMultiplicity(bodyOutput->at(i)))",
"A LoopNode must have the same number of loopVariableInputs and loopVariables, and they must match in
type, uniqueness and multiplicity.","loopVariableInput->size()=loopVariable->size() and
loopVariableInput.type=loopVariable.type and
loopVariableInput.isUnique=loopVariable.isUnique and
loopVariableInput.lower=loopVariable.lower and
loopVariableInput.upper=loopVariable.upper",
"A LoopNode must have the same number of result OutputPins and loopVariables, and they must match in type,
uniqueness and multiplicity.","result->size()=loopVariable->size() and
result.type=loopVariable.type and
result.isUnique=loopVariable.isUnique and
result.lower=loopVariable.lower and
result.upper=loopVariable.upper",
All ActivityEdges outgoing from loopVariable OutputPins must have targets within the LoopNode.,allOwnedNodes()->includesAll(loopVariable.outgoing.target),
"If the language attribute is not empty, then the size of the body and language lists must be the same.",language->notEmpty() implies (_'body'->size() = language->size()),
"An OutputPin may have incoming ActivityEdges only when it is owned by a StructuredActivityNode, and
these edges must have sources contained (directly or indirectly) in the owning StructuredActivityNode.","incoming->notEmpty() implies
action<>null and
action.oclIsKindOf(StructuredActivityNode) and
action.oclAsType(StructuredActivityNode).allOwnedNodes()->includesAll(incoming.source)",
A control Pin has a control type.,isControl implies isControlType,
Pin multiplicity is not unique.,not isUnique,
The multiplicity of the value InputPin is 1..1.,"value.is(1,1)",
The type of the value InputPin conforms to the type of the qualifier Property.,value.type.conformsTo(qualifier.type),
The qualifier must be a qualifier of the Association end of the linkEndData that owns this QualifierValue.,linkEndData.end.qualifier->includes(qualifier),
The type of the result OutputPin is the classifier.,result.type = classifier,
The multiplicity of the result OutputPin is 0..*.,"result.is(0,*)",
The object InputPin has no type.,object.type = null,
The multiplicity of the result OutputPin is 1..1.,"result.is(1,1)",
The type of the result OutputPin is Boolean.,result.type = Boolean,
The multiplicity of the object InputPin is 1..1.,"object.is(1,1)",
The type and ordering of the result OutputPin are same as the type and ordering of the open Association end.,self.openEnd()->forAll(type=result.type and isOrdered=result.isOrdered),
The multiplicity of the open Association end must be compatible with the multiplicity of the result OutputPin.,self.openEnd()->first().compatibleWith(result),
Visibility of the open end must allow access from the object performing the action.,"let openEnd : Property = self.openEnd()->first() in
openEnd.visibility = VisibilityKind::public or
endData->exists(oed |
oed.end<>openEnd and
(_'context' = oed.end.type or
(openEnd.visibility = VisibilityKind::protected and
_'context'.conformsTo(oed.end.type.oclAsType(Classifier)))))",
"Exactly one linkEndData specification (corresponding to the ""open"" end) must not have a value InputPin.",self.openEnd()->size() = 1,
The open end must be navigable.,self.openEnd()->first().isNavigable(),
The end Property must be an Association memberEnd.,end.association <> null,
The multiplicity of the object InputPin is 1..1.,"object.is(1,1)",
The ends of the association must not be static.,end.association.memberEnd->forAll(e | not e.isStatic),
The type of the result OutputPin is the same as the type of the end Property.,result.type = end.type,
The multiplicity of the result OutputPin is 1..1.,"result.is(1,1)",
The type of the object InputPin is the AssociationClass that owns the end Property.,object.type = end.association,
The association of the end must be an AssociationClass.,end.association.oclIsKindOf(AssociationClass),
The multiplicity of the object InputPin is 1..1.,"object.is(1,1)",
"The type of the object InputPin is the AssociationClass that owns the Association end that has the given
qualifier Property.",object.type = qualifier.associationEnd.association,
The multiplicity of the qualifier Property is 1..1.,"qualifier.is(1,1)",
The ends of the Association must not be static.,qualifier.associationEnd.association.memberEnd->forAll(e | not e.isStatic),
The multiplicity of the result OutputPin is 1..1.,"result.is(1,1)",
The type of the result OutputPin is the same as the type of the qualifier Property.,result.type = qualifier.type,
The association of the Association end of the qualifier Property must be an AssociationClass.,qualifier.associationEnd.association.oclIsKindOf(AssociationClass),
The qualifier Property must be a qualifier of an Association end.,qualifier.associationEnd <> null,
A ReadSelfAction must have a context Classifier.,_'context' <> null,
The multiplicity of the result OutputPin is 1..1.,"result.is(1,1)",
"If the ReadSelfAction is contained in a Behavior that is acting as a method, then the Operation of the method
must not be static.","let behavior: Behavior = self.containingBehavior() in
behavior.specification<>null implies not behavior.specification.isStatic",
The type of the result OutputPin is the context Classifier.,result.type = _'context',
